loan id,original interest rate,original UPB,original loan term,original LTV ratio,debt to income,original list price,Current Loan Delinquency Status,delinquent
117174717787,4.875,490000.0,360,73,46.0,,0,False
117182033097,4.612,134000.0,360,70,25.0,,0,False
117274002675,4.875,290000.0,360,45,43.0,,17,True
117309866401,5.125,300000.0,360,75,48.0,,4,True
117474319166,5.375,656000.0,360,75,34.0,,0,False
117474904938,4.75,146000.0,180,40,29.0,,0,False
117584939107,5.5,480000.0,360,77,43.0,,0,False
117597833446,4.25,128000.0,180,90,39.0,,0,False
117624595768,4.875,89000.0,360,95,44.0,,0,False
117627052692,5.25,675000.0,360,95,49.0,,0,False
117756411268,3.875,84000.0,180,65,42.0,,0,False
117868873145,4.875,520000.0,360,80,42.0,,18,True
117932936316,4.5,257000.0,120,65,27.0,,0,False
118081302136,4.5,152000.0,360,80,12.0,,0,False
118197391240,4.75,333000.0,360,84,49.0,,0,False
118202878690,4.5,245000.0,360,31,30.0,,0,False
118244585406,4.875,368000.0,360,80,37.0,,0,False
118326029129,4.875,568000.0,360,80,23.0,,0,False
118369640453,4.625,300000.0,360,42,36.0,,0,False
118416557481,5.75,115000.0,360,80,46.0,,0,False
118456393248,4.5,50000.0,180,32,31.0,,0,False
118491336308,5.25,316000.0,360,65,43.0,,0,False
118498874638,4.5,355000.0,360,50,45.0,,0,False
118716239799,5.125,158000.0,240,70,30.0,,0,False
118824891118,4.625,105000.0,360,73,45.0,,0,False
118949371554,4.5,176000.0,360,22,37.0,,1,True
119033467610,4.75,418000.0,360,90,49.0,,0,False
119106722315,5.0,247000.0,360,90,48.0,,0,False
119197345136,4.75,521000.0,360,75,49.0,,0,False
119201240846,4.625,426000.0,360,80,33.0,,0,False
119283979326,4.625,64000.0,360,80,41.0,,0,False
119314932674,4.75,160000.0,360,80,43.0,,0,False
119459594219,5.75,84000.0,360,80,41.0,,6,True
119498998479,5.0,117000.0,360,97,49.0,,0,False
119651590754,4.75,374000.0,360,85,25.0,,0,False
119693996723,6.0,424000.0,360,85,37.0,,0,False
119880904708,4.5,184000.0,360,80,38.0,,0,False
120220315817,4.75,480000.0,360,44,42.0,,0,False
120247333170,4.375,372000.0,360,60,38.0,,0,False
120291509389,5.0,172000.0,360,97,33.0,,0,False
120393942861,4.5,333000.0,360,90,25.0,,0,False
120584555545,4.5,251000.0,360,75,50.0,,0,False
120597010973,4.875,209000.0,360,95,44.0,,0,False
120618931929,6.5,68000.0,360,75,41.0,,0,False
121021571177,4.375,234000.0,180,75,30.0,,0,False
121150584855,4.99,209000.0,360,95,33.0,,0,False
121213090902,5.125,530000.0,360,95,36.0,,0,False
121396664341,5.0,65000.0,360,26,49.0,,0,False
121444101277,4.875,260000.0,360,71,36.0,,0,False
121563247884,5.375,105000.0,360,66,35.0,,0,False
121703135444,5.0,337000.0,360,95,46.0,,6,True
121763766611,5.25,199000.0,360,97,42.0,,36,True
121802113750,4.75,338000.0,360,90,46.0,,0,False
121819897965,4.625,359000.0,360,97,42.0,,0,False
121915562922,5.0,437000.0,360,97,50.0,,0,False
122051464971,4.875,150000.0,360,50,36.0,,0,False
122169767833,4.875,176000.0,360,80,38.0,,1,True
122197943660,4.0,210000.0,240,25,14.0,,0,False
122269800796,4.875,179000.0,360,70,38.0,,0,False
122421988353,4.625,318000.0,360,88,32.0,,1,True
122803518563,4.625,432000.0,360,92,40.0,,2,True
122864793690,5.25,75000.0,360,75,39.0,,0,False
122936708950,5.625,693000.0,360,70,45.0,,0,False
123015812475,6.375,80000.0,360,80,37.0,,4,True
123223794386,4.75,375000.0,360,56,49.0,,0,False
123230487715,4.875,371000.0,360,93,42.0,,3,True
123497970615,5.25,500000.0,360,51,38.0,,5,True
123500469742,3.875,394000.0,180,84,42.0,,0,False
123686773320,5.25,430000.0,360,54,44.0,,0,False
123707139063,5.125,350000.0,360,78,50.0,,1,True
123820253361,5.0,89000.0,360,75,22.0,,0,False
123855464041,5.125,396000.0,240,90,49.0,,22,True
123963854936,4.125,181000.0,180,80,32.0,,0,False
124125493671,4.75,350000.0,360,45,48.0,,0,False
124262702943,4.75,197000.0,360,95,42.0,,0,False
124316901389,5.125,417000.0,360,85,43.0,,21,True
124364731579,4.625,342000.0,360,41,50.0,,0,False
124407700981,5.125,205000.0,360,49,48.0,,0,False
124619497898,5.0,563000.0,360,90,50.0,,1,True
124733828338,5.875,499000.0,360,80,49.0,,0,False
124809456074,5.0,200000.0,360,65,50.0,,0,False
124963622325,4.25,200000.0,240,69,22.0,,0,False
124974848663,4.99,210000.0,360,85,45.0,,0,False
125056561412,4.5,339000.0,360,75,35.0,,0,False
125065029303,5.125,525000.0,360,60,38.0,,0,False
125091307465,5.25,476000.0,360,85,46.0,,0,False
125096197577,5.5,323000.0,360,75,50.0,,0,False
125125117499,4.99,387000.0,240,63,33.0,,1,True
125155698677,4.75,575000.0,360,95,33.0,,0,False
125155710960,5.19,264000.0,360,80,50.0,,0,False
125214987852,4.25,226000.0,180,80,30.0,,0,False
125368495134,5.125,256000.0,360,80,47.0,,1,True
125444505294,4.75,564000.0,360,80,34.0,,0,False
125469771923,4.875,396000.0,360,90,36.0,,0,False
125521623132,5.125,392000.0,360,79,48.0,,14,True
125593979806,4.75,100000.0,360,19,40.0,,0,False
125643371294,4.5,700000.0,360,53,45.0,,0,False
125815074862,4.99,76000.0,180,15,50.0,,0,False
125850239131,4.75,195000.0,180,95,33.0,,10,True
126022146235,4.75,285000.0,360,85,39.0,,0,False
126040577726,4.625,360000.0,360,90,48.0,,0,False
126251100934,4.5,280000.0,360,50,47.0,,0,False
126271882135,4.25,378000.0,360,80,38.0,,0,False
126344988386,4.875,240000.0,360,97,32.0,,0,False
126371705802,4.99,395000.0,360,59,45.0,,7,True
126570542185,5.125,63000.0,360,80,24.0,,0,False
126769705056,4.75,382000.0,360,95,41.0,,0,False
126906702824,4.5,160000.0,360,26,35.0,,1,True
126916729573,4.875,80000.0,360,97,40.0,,0,False
126937089762,4.125,134000.0,180,24,50.0,,0,False
126950977218,4.375,85000.0,180,74,22.0,,0,False
127062379176,4.5,341000.0,360,80,29.0,,0,False
