action_taken,loan_type,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,interest_rate,property_value,loan_term,loan_type.1,loan_purpose,occupancy_type,applicant_age,negative_amortization,rate_spread,derived_race_2 or more minority races,derived_race_American Indian or Alaska Native,derived_race_Asian,derived_race_Black or African American,derived_race_Free Form Text Only,derived_race_Joint,derived_race_Native Hawaiian or Other Pacific Islander,derived_race_Race Not Available,derived_race_White,derived_sex_Female,derived_sex_Joint,derived_sex_Male,derived_sex_Sex Not Available,y_pred
1,1,1465000.0,425.0,33.0,43.196,3.375,3405000.0,360.0,1,31,2,60.0,2,-0.219,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,155000.0,278.0,25.0,65.502,5.5,655000.0,361.0,1,2,1,50.0,2,0.39,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,45000.0,131.0,,,,,,1,31,1,40.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,1005000.0,2352.0,10.0,47.88,2.75,2105000.0,360.0,1,31,2,50.0,2,-0.294,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,505000.0,405.0,33.0,77.7,3.99,995000.0,360.0,1,4,1,40.0,2,0.68,False,False,False,False,False,False,False,False,True,False,False,True,False,1
4,1,55000.0,150.0,,,,,300.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,1715000.0,297.0,42.0,43.91,3.75,3905000.0,360.0,1,32,1,50.0,2,0.068,False,False,False,False,False,False,False,True,False,False,False,False,True,1
1,1,485000.0,225.0,,,,,,1,1,1,30.0,1111,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,55000.0,108.0,,,,,,1,2,1,60.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,25000.0,161.0,10.0,37.773,4.15,215000.0,180.0,1,4,1,60.0,2,0.9,False,False,False,False,False,True,False,False,False,False,True,False,False,1
4,2,85000.0,39.0,,,,,360.0,2,32,1,50.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,1445000.0,736.0,45.0,68.62,2.99,3425000.0,360.0,1,32,1,60.0,2,-0.584,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,195000.0,208.0,25.0,80.0,,245000.0,240.0,1,1,2,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
5,2,65000.0,43.0,,,,,360.0,2,31,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,4,75000.0,62.0,,,,,360.0,4,1,1,23.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,2955000.0,5410.0,10.0,56.19,2.75,5255000.0,360.0,1,31,1,50.0,2,-0.71,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,75000.0,28.0,38.0,80.0,4.125,85000.0,180.0,1,1,1,23.0,2,1.295,False,False,False,False,False,False,False,False,True,True,False,False,False,1
4,1,105000.0,600.0,,,,,180.0,1,4,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,435000.0,189.0,33.0,72.31,3.75,605000.0,240.0,1,31,1,50.0,2,1.0162,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,125000.0,168.0,25.0,69.832,,175000.0,120.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,475000.0,,33.0,79.69,,1005000.0,360.0,1,31,2,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,25000.0,108.0,10.0,57.0,4.25,205000.0,120.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,305000.0,543.0,10.0,25.27,3.49,1185000.0,360.0,1,31,1,70.0,2,1.685,False,False,False,False,False,True,False,False,False,False,True,False,False,1
